"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"1989","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,972.8",""
"2004","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,764.4",""
"2005","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,490.4",""
"2006","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,271.5",""
"2007","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,722.7",""
"2008","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,535.0",""
"2009","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,741.0",""
"2010","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,897.0",""
"2011","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,294.0",""
"2012","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-312.0",""
"2013","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,750.0",""
"2014","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,109.0",""
"2015","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,764.0",""
"2016","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,372.0",""
"2017","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,108.0",""
"2018","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,778.0",""
"2019","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","767.0",""
"2020","Belgium","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,840.0",""
"1989","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Bulgaria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-28.7",""
