"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2000","Belgium","Current prices, million euro","Final consumption expenditure of households","130,163.2",""
"2000","Bulgaria","Current prices, million euro","Final consumption expenditure of households","10,103.6",""
"2000","Czechia","Current prices, million euro","Final consumption expenditure of households","34,981.3",""
"2000","Denmark","Current prices, million euro","Final consumption expenditure of households","81,611.7",""
"2000","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,132,554.0",""
"2000","Estonia","Current prices, million euro","Final consumption expenditure of households","3,635.8",""
"2000","Ireland","Current prices, million euro","Final consumption expenditure of households","50,377.3",""
"2000","Greece","Current prices, million euro","Final consumption expenditure of households","97,805.3",""
"2000","Spain","Current prices, million euro","Final consumption expenditure of households","402,740.0",""
"2000","France","Current prices, million euro","Final consumption expenditure of households","782,262.0",""
"2000","Croatia","Current prices, million euro","Final consumption expenditure of households","16,349.5",""
"2000","Italy","Current prices, million euro","Final consumption expenditure of households","763,200.7",""
"2000","Cyprus","Current prices, million euro","Final consumption expenditure of households","8,394.4",""
"2000","Latvia","Current prices, million euro","Final consumption expenditure of households","5,221.0",""
"2000","Lithuania","Current prices, million euro","Final consumption expenditure of households","8,179.9",""
"2000","Luxembourg","Current prices, million euro","Final consumption expenditure of households","10,229.2",""
"2000","Hungary","Current prices, million euro","Final consumption expenditure of households","29,637.0",""
"2000","Malta","Current prices, million euro","Final consumption expenditure of households","3,280.8",""
"2000","Netherlands","Current prices, million euro","Final consumption expenditure of households","221,463.0",""
"2000","Austria","Current prices, million euro","Final consumption expenditure of households","115,443.4",""
"2000","Poland","Current prices, million euro","Final consumption expenditure of households","119,198.9",""
"2000","Portugal","Current prices, million euro","Final consumption expenditure of households","82,663.0",""
"2000","Romania","Current prices, million euro","Final consumption expenditure of households","27,522.1",""
"2000","Slovenia","Current prices, million euro","Final consumption expenditure of households","12,656.2",""
"2000","Slovakia","Current prices, million euro","Final consumption expenditure of households","12,206.0",""
"2000","Finland","Current prices, million euro","Final consumption expenditure of households","62,884.0",""
"2000","Sweden","Current prices, million euro","Final consumption expenditure of households","129,739.5",""
"2000","Iceland","Current prices, million euro","Final consumption expenditure of households","5,388.7",""
"2000","Norway","Current prices, million euro","Final consumption expenditure of households","74,586.9",""
"2000","Switzerland","Current prices, million euro","Final consumption expenditure of households","166,817.8",""
"2000","United Kingdom","Current prices, million euro","Final consumption expenditure of households","1,153,132.2",""
"2000","Montenegro","Current prices, million euro","Final consumption expenditure of households",":",""
"2000","North Macedonia","Current prices, million euro","Final consumption expenditure of households","3,102.3",""
"2000","Serbia","Current prices, million euro","Final consumption expenditure of households","21,416.1",""
"2000","Turkey","Current prices, million euro","Final consumption expenditure of households",":",""
"2000","Bosnia and Herzegovina","Current prices, million euro","Final consumption expenditure of households","6,321.8",""
"2000","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Final consumption expenditure of households",":",""
"2001","Belgium","Current prices, million euro","Final consumption expenditure of households","134,376.0",""
"2001","Bulgaria","Current prices, million euro","Final consumption expenditure of households","11,338.5",""
"2001","Czechia","Current prices, million euro","Final consumption expenditure of households","39,005.9",""
"2001","Denmark","Current prices, million euro","Final consumption expenditure of households","83,834.8",""
"2001","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Final consumption expenditure of households","1,170,922.0",""
"2001","Estonia","Current prices, million euro","Final consumption expenditure of households","4,112.7",""
"2001","Ireland","Current prices, million euro","Final consumption expenditure of households","54,816.8",""
"2001","Greece","Current prices, million euro","Final consumption expenditure of households","103,537.4",""
"2001","Spain","Current prices, million euro","Final consumption expenditure of households","432,402.0",""
"2001","France","Current prices, million euro","Final consumption expenditure of households","816,460.0",""
"2001","Croatia","Current prices, million euro","Final consumption expenditure of households","18,934.7",""
