"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2001","Austria","Current prices, million euro","Exports of goods and services","98,392.9",""
"2001","Austria","Current prices, million euro","Imports of goods and services","94,647.4",""
"2002","Austria","Current prices, million euro","Exports of goods and services","102,755.0",""
"2002","Austria","Current prices, million euro","Imports of goods and services","94,387.1",""
"2003","Austria","Current prices, million euro","Exports of goods and services","103,342.1",""
"2003","Austria","Current prices, million euro","Imports of goods and services","96,957.9",""
"2004","Austria","Current prices, million euro","Exports of goods and services","113,581.9",""
"2004","Austria","Current prices, million euro","Imports of goods and services","106,451.8",""
"2005","Austria","Current prices, million euro","Exports of goods and services","123,530.7",""
"2005","Austria","Current prices, million euro","Imports of goods and services","115,385.8",""
"2006","Austria","Current prices, million euro","Exports of goods and services","136,166.4",""
"2006","Austria","Current prices, million euro","Imports of goods and services","126,538.1",""
"2007","Austria","Current prices, million euro","Exports of goods and services","149,261.3",""
"2007","Austria","Current prices, million euro","Imports of goods and services","136,799.0",""
"2008","Austria","Current prices, million euro","Exports of goods and services","156,424.9",""
"2008","Austria","Current prices, million euro","Imports of goods and services","143,428.7",""
"2009","Austria","Current prices, million euro","Exports of goods and services","130,217.3",""
"2009","Austria","Current prices, million euro","Imports of goods and services","120,560.3",""
"2010","Austria","Current prices, million euro","Exports of goods and services","151,683.0",""
"2010","Austria","Current prices, million euro","Imports of goods and services","141,313.2",""
"2011","Austria","Current prices, million euro","Exports of goods and services","167,310.3",""
"2011","Austria","Current prices, million euro","Imports of goods and services","158,643.6",""
"2012","Austria","Current prices, million euro","Exports of goods and services","171,988.8",""
"2012","Austria","Current prices, million euro","Imports of goods and services","163,081.9",""
"2013","Austria","Current prices, million euro","Exports of goods and services","173,101.8",""
"2013","Austria","Current prices, million euro","Imports of goods and services","163,979.9",""
"2014","Austria","Current prices, million euro","Exports of goods and services","177,855.3",""
"2014","Austria","Current prices, million euro","Imports of goods and services","166,962.7",""
"2015","Austria","Current prices, million euro","Exports of goods and services","182,769.3",""
"2015","Austria","Current prices, million euro","Imports of goods and services","169,856.4",""
"2016","Austria","Current prices, million euro","Exports of goods and services","187,409.4",""
"2016","Austria","Current prices, million euro","Imports of goods and services","173,710.5",""
"2017","Austria","Current prices, million euro","Exports of goods and services","199,644.4",""
"2017","Austria","Current prices, million euro","Imports of goods and services","187,959.7",""
"2018","Austria","Current prices, million euro","Exports of goods and services","213,681.6",""
"2018","Austria","Current prices, million euro","Imports of goods and services","202,120.3",""
"2019","Austria","Current prices, million euro","Exports of goods and services","220,393.1",""
"2019","Austria","Current prices, million euro","Imports of goods and services","206,852.8",""
"2020","Austria","Current prices, million euro","Exports of goods and services","195,103.6",""
"2020","Austria","Current prices, million euro","Imports of goods and services","184,213.0",""
